"","X1.RM","X1.LSTAT","X1.RAD","X1.CRIM","X1.PTRATIO","X1.DIS","X1.ZN","X1.NOX","X1.CHAS","X1.B","X1.TAX","X1.INDUS","X1.AGE","X1.MEDV"
"2",6.874,2.94296768133818,"8",0.126757245355888,-0.525818250464659,4.9671,0,0.469,0,392.83,242,7.07,61.1,34.7
"4",7.135,1.82178979285759,"3",-1.3285991640072,0.833916637360556,6.0622,0,0.458,0,396.9,222,2.18,54.2,36.2
"16",6.24,2.669791809027,"5",-0.437858807551857,0.187985637785564,4.4986,0,0.538,0,386.85,307,8.14,29.3,23.1
"26",6.211,3.05256571998037,"5",-0.86335536246953,0.833916637360556,4.682,0,0.538,0,376.88,307,8.14,90.3,16.6
"28",6.794,3.95097673120561,"5",-0.0417503931162395,0.494955615629276,4.4547,0,0.538,0,387.94,307,8.14,94.4,18.4
"30",6.223,4.39494591795916,"2",-0.00109058357058532,-0.61251795246359,4.233,0,0.538,0,360.17,307,8.14,94.1,12.7
"38",5.604,2.75972112897435,"5",-1.25383310223836,-0.435595771986813,3.8473,0,0.499,0,393.43,279,5.96,30.2,24.7
"41",6.182,1.84628685596603,"3",-1.3285991640072,-0.341710340923556,5.7209,0,0.448,0,385.41,233,6.91,2.9,26.6
"67",6.041,2.26456806552854,"4",-0.565586270512225,0.833916637360556,6.498,12.5,0.409,0,396.21,345,6.07,21.4,22
"77",5.701,5.10364896126125,"1",-1.25383310223836,0.833916637360556,4.0905,0,0.437,0,386.96,398,12.83,45.8,20.8
"90",6.383,2.92887081956687,"7",-0.486091977796337,-0.24401601094397,3.0923,0,0.489,0,392.18,270,3.41,66.1,22.6
"96",6.345,2.38758266975748,"5",-0.986042436451613,0.187985637785564,3.4952,0,0.445,0,391.83,276,2.89,69.6,21.4
"98",7.645,1.8883877729515,"7",-0.0420875636227515,-1.42225756521518,3.4952,0,0.445,0,393.53,276,2.89,36.9,43.8
"111",6.167,3.48415435883694,"24",0.972481057837178,0.833916637360556,2.6775,0,0.547,0,395.59,432,10.01,81.6,22.8
"116",7.393,3.06256425547388,"24",1.02376557792443,1.62150192036674,2.7301,0,0.547,0,393.3,432,10.01,72.5,21.2
"117",5.927,3.61559350934799,"24",1.46027777257684,1.62150192036674,2.7474,0,0.547,0,394.51,432,10.01,82.6,19.2
"118",5.859,3.54408219498746,"5",-0.0417503931162395,0.833916637360556,2.4775,0,0.547,0,338.63,432,10.01,73.1,20.4
"122",6.434,4.9656374936897,"2",0.120675140568934,-0.193693261025715,2.0869,0,0.581,0,378.09,188,25.65,92.9,20.5
"124",5.968,3.59594633056158,"2",-0.230813169748103,0.833916637360556,2.0063,0,0.581,0,379.38,188,25.65,95.8,18.8
"129",6.545,4.39494591795916,"4",0.311803455236347,0.833916637360556,1.9799,0,0.624,0,396.9,437,21.89,94.7,14.3
"131",5.986,3.721458316052,"4",-0.0641648317014494,0.833916637360556,2.271,0,0.624,0,396.9,437,21.89,97.7,19.6
"143",5.693,4.3787117756316,"5",0.867689799724878,-0.997706535589136,1.4118,0,0.871,0,396.9,403,19.58,100,15.6
"148",5.874,4.32938807705656,"5",0.867689799724878,-1.54701457236491,1.5296,0,0.871,0,356.99,403,19.58,93.8,17.8
"151",6.279,4.46630609235271,"5",0.57925552221331,-1.88714317572526,1.5916,0,0.871,0,341.6,403,19.58,100,19.6
"153",6.718,3.0592364638326,"5",0.873522118462933,-1.61599016005755,1.6232,0,0.871,0,261.95,403,19.58,98.5,19.4
"155",6.015,5.19437380746687,"5",1.2311333393862,-0.61251795246359,1.7455,0,0.871,1,88.01,403,19.58,82.6,15.6
"156",5.304,4.89632763972414,"5",0.873522118462933,-1.42225756521518,1.7364,0,0.871,0,88.63,403,19.58,94,13.1
"157",7.454,1.8279447812707,"5",-0.204489505821609,1.45124616523898,1.8773,0,0.605,0,363.43,403,19.58,97.4,41.3
"158",6.345,3.721458316052,"4",-0.0811921769582539,0.833916637360556,1.7573,0,0.605,0,353.89,403,19.58,100,24.3
"160",6.8,3.26729959955056,"4",-0.480933234852322,-0.142360813351939,1.7984,0,0.605,1,338.92,403,19.58,92.6,27
"161",7.831,1.90319450985413,"5",-0.398617088725536,-0.142360813351939,1.9709,0,0.605,0,374.43,403,19.58,90.8,50
"166",8.725,2.03692454707193,"8",0.297546362367423,0.494955615629276,2.0459,0,0.605,0,369.3,403,19.58,96.2,50
"167",6.458,4.16192898206622,"2",0.179614936911932,0.187985637785564,2.4259,0,0.605,0,227.61,403,19.58,79.2,23.8
"168",6.345,3.67484687572046,"5",-0.239870958239417,-0.142360813351939,2.1,0,0.605,0,297.09,403,19.58,96.1,23.8
"169",6.172,3.7064406117718,"4",-0.095907173904429,0.833916637360556,2.2625,0,0.605,0,330.04,403,19.58,95.2,22.3
"170",5.572,4.32938807705656,"1",-0.106515801661242,1.62150192036674,2.4259,0,0.605,0,292.29,403,19.58,94.6,17.4
"177",6.484,4.21047142468078,"3",0.310928975474167,-1.1943938643994,3.3175,0,0.51,0,395.6,296,4.05,73.4,24.6
"178",6.861,2.34819977229563,"5",-1.17591624610692,0.833916637360556,2.9153,0,0.51,0,391.27,296,4.05,74.4,29.9
"181",6.874,2.34819977229563,"3",-1.05891424750766,-1.16323735407812,2.5979,0,0.488,0,396.9,193,2.46,62.2,36.2
"182",7.024,1.75587826607416,"3",-1.00320285512325,0.187985637785564,2.7006,0,0.488,0,394.12,193,2.46,92.2,37.9
"185",6.019,3.72021043714433,"3",-0.363785201989218,0.833916637360556,3.2797,0,0.488,0,387.11,193,2.46,68.8,29.6
"207",5.986,2.92887081956687,"4",-0.838312754307627,0.130160746119299,4.3549,0,0.489,0,389.43,277,10.59,72.7,22.5
"216",6.127,3.57215130001286,"4",-0.248315164027441,1.45124616523898,3.1121,0,0.55,1,392.8,276,13.89,56,23.3
"218",6.326,3.66464769149628,"4",-0.416084529479112,1.45124616523898,2.8893,0,0.55,1,396.9,276,13.89,93.8,21.5
"219",6.495,3.41412227368256,"3",0.135626186614536,0.073471767344769,3.3633,0,0.55,1,393.74,276,13.89,92.4,23
"222",6.939,2.86972612727689,"5",-0.607493757566169,-0.525818250464659,3.2721,0,0.507,1,390.39,307,6.2,77.7,27.5
"224",7.47,0.739104017250585,"2",-0.838312754307627,-1.06591919064377,2.8944,0,0.504,0,385.05,307,6.2,78.3,44.8
"226",8.069,2.41718381815899,"8",-0.325436770736545,-0.525818250464659,3.2157,0,0.504,0,387.38,307,6.2,86.5,37.6
"228",7.178,1.5637668426471,"5",-0.642909385632915,-1.88714317572526,3.3751,0,0.504,0,377.51,307,6.2,17,46.7
"229",6.976,2.15410120372019,"6",-0.639749350050662,-1.54701457236491,3.3751,0,0.504,0,380.34,307,6.2,21.4,31.5
"233",8.034,1.77811483250587,"2",-1.00320285512325,-1.88714317572526,3.6519,0,0.507,0,378.95,307,6.2,70.4,48.3
"234",7.287,2.08840668059948,"7",0.759242712580241,1.368618600426,3.6519,0,0.507,1,360.2,307,6.2,66.5,29
"235",6.02,3.54542647125892,"5",-0.486091977796337,-0.525818250464659,3.6519,0,0.507,0,376.75,307,6.2,61.5,24
"257",8.725,1.77811483250587,"5",-0.521667919480987,-1.95119453467277,1.801,20,0.647,0,389.7,264,3.97,86.9,50
"258",7.148,2.52928758790583,"5",-0.252215954094587,-1.54701457236491,1.8946,20,0.647,0,383.29,264,3.97,100,36
"259",6.625,3.18544479362822,"5",-0.0188137501422606,-1.54701457236491,2.0107,20,0.647,0,391.93,264,3.97,100,30.1
"261",8.034,1.38392061319881,"5",-0.423970680833503,-1.54701457236491,2.1398,20,0.647,0,388.37,264,3.97,89.4,43.1
"296",6.167,2.4904258997364,"4",-0.534908351423173,1.62150192036674,5.9604,0,0.437,0,392.85,289,13.92,51,27.1
"308",6.219,2.93593074579769,"5",-0.531637942250396,1.368618600426,3.3175,0,0.544,0,396.9,304,9.9,82.5,22.8
