"","X1.RM","X1.LSTAT","X1.RAD","X1.CRIM","X1.PTRATIO","X1.DIS","X1.ZN","X1.NOX","X1.CHAS","X1.B","X1.TAX","X1.INDUS","X1.AGE","X1.MEDV"
"4",7.241,1.47243283127218,"8",-0.621342604425458,-0.341710340923556,6.0622,0,0.458,0,396.9,222,2.18,54.2,36.2
"16",5.998,2.47949778218025,"5",-0.838312754307627,-0.24401601094397,4.4986,0,0.538,0,386.85,307,8.14,29.3,23.1
"35",5.889,4.2741161140604,"1",-0.551486752365065,1.62150192036674,3.3603,0,0.499,0,396.9,279,5.96,68.2,18.9
"42",6.565,1.85236043558938,"5",-0.881182162199306,0.833916637360556,5.7209,0,0.448,0,383.37,233,6.91,6.6,25.3
"43",5.39,3.04922273246206,"7",-0.29369420124999,-0.193693261025715,5.7209,0,0.448,0,394.46,233,6.91,6.5,24.7
"71",5.936,2.10172676468467,"4",-0.86335536246953,0.0178965792890688,5.2873,0,0.413,0,376.94,305,10.81,17.5,21.7
"72",6.144,2.22511923058885,"4",-0.360853067613336,-0.0365864931420291,5.2873,0,0.413,0,390.91,305,10.81,7.8,22.8
"78",6.059,2.9039775081548,"7",-0.727178322130495,0.833916637360556,5.0141,0,0.437,0,386.4,398,12.83,53.7,21.2
"79",5.87,2.62537258770055,"1",-0.80406874981701,-0.24401601094397,4.5026,0,0.437,0,396.06,398,12.83,36.6,20.3
"81",6.635,2.97435392292094,"2",-0.999742912620412,-1.1943938643994,5.4007,25,0.426,0,395.63,281,4.86,70.4,23.9
"86",5.884,3.54542647125892,"2",-1.13270278357,-1.54701457236491,4.4272,0,0.449,0,395.99,247,4.49,45.1,22.5
"91",6.657,3.54542647125892,"6",0.0502275137582259,-0.142360813351939,3.0921,0,0.489,0,393.55,270,3.41,73.9,22
"96",6.358,3.01550932969761,"3",-0.469119370583586,0.0178965792890688,3.4952,0,0.445,0,391.83,276,2.89,69.6,21.4
"98",7.454,1.31541277936379,"5",-1.41593677666986,-1.54701457236491,3.4952,0,0.445,0,393.53,276,2.89,36.9,43.8
"108",6.012,3.7064406117718,"4",0.037147236314132,0.833916637360556,2.4329,0,0.52,0,395.24,384,8.56,97.1,19.8
"118",6.431,4.13888231107415,"2",-0.469119370583586,-1.42225756521518,2.4775,0,0.547,0,338.63,432,10.01,73.1,20.4
"124",6.004,4.09750025962512,"4",0.311803455236347,1.45124616523898,2.0063,0,0.581,0,379.38,188,25.65,95.8,18.8
"126",5.427,4.06736267341643,"1",-0.531637942250396,-0.24401601094397,1.7572,0,0.581,0,359.29,188,25.65,95.6,15.7
"132",6.657,3.47309064222919,"5",-0.31321840075209,1.368618600426,2.3274,0,0.624,0,385.76,437,21.89,97.9,23
"141",6.649,4.09750025962512,"4",0.364134105668252,0.833916637360556,1.4394,0,0.624,0,396.9,437,21.89,100,14.4
"142",5.399,5.18087877469651,"2",0.205291651694652,-1.54701457236491,1.3216,0,0.871,1,396.9,403,19.58,100,13.4
"149",5.304,4.74136542606774,"5",0.410466167700012,-0.695829524768667,1.5257,0,0.871,0,351.85,403,19.58,94.9,15.4
"155",4.652,4.74136542606774,"2",0.410466167700012,-1.88714317572526,1.7455,0,0.871,1,88.01,403,19.58,82.6,15.6
"157",7.47,1.81251836199392,"5",-0.28347233303905,-1.4986288445605,1.8773,0,0.605,0,363.43,403,19.58,97.4,41.3
"161",7.853,2.62945023924811,"5",-0.348824429813104,-1.31292709856617,1.9709,0,0.605,0,374.43,403,19.58,90.8,50
"165",6.696,3.66592498540228,"5",0.135626186614536,-1.54701457236491,2.2834,0,0.605,0,240.16,403,19.58,93,25
"166",8.337,1.31541277936379,"5",-0.901950800107175,-1.54701457236491,2.0459,0,0.605,0,369.3,403,19.58,96.2,50
