"","RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV"
"2",6.71360928139558,2.39444284759196,2,-0.817681008181981,-1.79603966602118,4.9671,0,0.469,0,392.83,242,7.07,61.1,34.7
"3",7.90499479202926,1.58800712087067,2,-1.16225680661642,0.12946274318289,6.0622,0,0.458,0,394.63,222,2.18,45.8,33.4
"6",6.25045817600225,2.74555319738207,1,-1.50410562814023,-0.652242325126214,5.5605,12.5,0.524,0,395.6,311,7.87,66.6,22.9
"16",6.02389301823887,2.17417739121773,1,-0.837662828222433,-0.204440925655837,4.4986,0,0.538,0,386.85,307,8.14,29.3,23.1
"18",6.06167298515439,2.93925928402003,4,-0.192202100023279,-0.607161361156121,3.7965,0,0.538,0,288.99,307,8.14,36.6,20.2
"25",5.43332946910285,4.32930845546536,4,-0.263834227421844,1.00632225790723,4.4546,0,0.538,0,303.42,307,8.14,85.7,13.9
"28",5.62367812465302,4.29223864967938,8,0.141425178596316,0.862535889536081,4.4547,0,0.538,0,387.94,307,8.14,94.4,18.4
"31",5.78453138549403,4.99331176632222,11,0.198481373844651,0.290936337804957,4.175,0,0.538,0,376.73,307,8.14,100,14.5
"35",5.4756820295046,4.39310389395383,8,-0.463598992709353,-1.15142383996788,3.3603,0,0.499,0,396.9,279,5.96,68.2,18.9
"43",6.20540938794043,2.40071957369047,1,-1.05249799072148,-1.29574257455461,5.7209,0,0.448,0,394.46,233,6.91,6.5,24.7
"76",6.39685696821297,3.26705852012365,10,-0.38244329453455,1.33523504069928,4.0522,0,0.437,0,373.66,398,12.83,74.5,20
"89",6.64492550544681,2.68319047410541,4,-0.355834218988416,0.336260315998585,3.4145,0,0.489,0,396.06,270,3.41,63.1,28.7
"90",5.80262907733295,2.86687888533938,3,-0.381063135338313,0.160074517418679,3.0923,0,0.489,0,392.18,270,3.41,66.1,22.6
"91",6.01898128534827,3.82345328334949,5,-0.726888176383889,-0.734350476169408,3.0921,0,0.489,0,393.55,270,3.41,73.9,22
"98",8.49885604266671,1.25843270668567,1,-0.905186750961376,-0.872961022945225,3.4952,0,0.445,0,393.53,276,2.89,36.9,43.8
"99",6.52424457095118,2.44378058280753,9,-0.8323811752997,-1.13092760454089,3.4952,0,0.445,0,396.9,276,2.89,62.5,33.2
"101",6.18691906651566,3.48923491793363,11,0.320536194378183,1.22495089358984,2.8561,0,0.52,0,395.58,384,8.56,71.3,26.5
"112",5.79057774192496,3.58681976004875,16,-0.0725269538978022,-0.5402603696148,2.3534,0,0.547,0,394.95,432,10.01,92.9,18.8
"120",6.35761607439013,4.03574449195013,1,-0.36582707728207,0.0561176630692083,2.2577,0,0.581,0,389.15,188,25.65,69.7,22
