"","RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV"
"16",5.9506675909874,2.89289804210499,3,-0.862861248776006,-0.245387493149533,4.4986,0,0.538,0,386.85,307,8.14,29.3,23.1
"18",5.77381513471732,3.80544135672368,4,-0.631296280723598,-1.0899576011111,3.7965,0,0.538,0,288.99,307,8.14,36.6,20.2
"21",6.19118379487901,3.84598507213097,5,-0.397530141171418,-0.681509600869349,4.0123,0,0.538,0,392.53,307,8.14,89.2,19.6
"29",5.65308581100681,3.57193494481253,4,0.319949266287187,-0.354427333092787,4.239,0,0.538,0,380.23,307,8.14,87.3,21
"31",6.24918945254339,3.93162266644891,11,-0.48710913001042,1.88362248114103,4.175,0,0.538,0,376.73,307,8.14,100,14.5
"37",6.28204141960688,2.69152234412348,4,-0.542688711382897,-0.550845635303585,3.9342,0,0.499,0,396.9,279,5.96,41.5,21
"38",5.53815389835508,2.93412161883172,1,-0.456744942150834,-0.378732208926315,3.8473,0,0.499,0,393.43,279,5.96,30.2,24.7
"43",6.15243890079601,2.34875182402275,1,-0.820413112268397,0.198438332045585,5.7209,0,0.448,0,394.46,233,6.91,6.5,24.7
"72",5.86272620780312,2.55733392611794,8,-0.822637387348208,0.781945408774623,5.2873,0,0.413,0,390.91,305,10.81,7.8,22.8
"81",6.38565178904235,2.60755158135171,1,-0.935706967909045,-0.492200869297484,5.4007,25,0.426,0,395.63,281,4.86,70.4,23.9
"87",6.38430712076345,2.75580619590417,1,-1.15682998768852,-0.583505345638559,3.7476,0,0.449,0,395.15,247,4.49,56.8,22.2
"88",6.18133170134503,2.79980685129184,3,-0.0127154741991507,1.00442569532939,3.4217,0,0.489,0,396.9,270,3.41,86.3,23.6
"89",6.6518510853727,2.41831125746451,3,-0.609531089214204,-0.427630758745701,3.4145,0,0.489,0,396.06,270,3.41,63.1,28.7
"90",5.88392421255532,3.46881574860165,8,-0.022956723455152,-1.12053144540079,3.0923,0,0.489,0,392.18,270,3.41,66.1,22.6
"97",7.33933154183889,2.37301739850346,9,0.0058614952428029,-0.570338733207942,3.4952,0,0.445,0,396.9,276,2.89,76,38.7
"99",6.77763396325677,1.37719366881601,1,-0.585900159322326,0.0895142816123703,3.4952,0,0.445,0,396.9,276,2.89,62.5,33.2
"103",6.07731116873156,4.31152434587309,13,0.0486925802106082,0.380345968654044,2.7147,0,0.52,0,394.47,384,8.56,87.4,19.3
"108",5.27374693173349,4.57731232678702,15,0.318442537723764,0.729369398660779,2.4329,0,0.52,0,395.24,384,8.56,97.1,19.8
"110",5.55978273083895,4.07598414015369,7,-0.519495163641396,-0.103516539196805,2.7778,0,0.52,0,393.49,384,8.56,54.4,21.7
"112",4.79012015075226,4.41185861006988,9,0.535260917637481,0.198306774261837,2.3534,0,0.547,0,394.95,432,10.01,92.9,18.8
"113",5.16710292080058,4.24607916648991,5,-0.247293576608559,0.745958096657131,2.548,0,0.547,0,396.9,432,10.01,95.4,18.7
"117",5.81498975958799,3.68844796995001,17,0.103740467237882,0.988865248603566,2.7474,0,0.547,0,394.51,432,10.01,82.6,19.2
"119",6.3682254411098,3.57409974529032,9,0.252468243153177,0.534911421786587,2.7592,0,0.547,0,391.5,432,10.01,65.2,19.3
"126",5.00736998088428,4.59423741734837,6,0.148148926271378,-0.209710308355444,1.7572,0,0.581,0,359.29,188,25.65,95.6,15.7
"127",6.2390766912066,4.06909114419061,11,0.19148984490574,1.43782909386538,1.7883,0,0.624,0,392.11,437,21.89,96,16.2
"135",5.74454669161009,4.73263910248038,7,-0.151213602832518,0.571713650993625,2.1107,0,0.624,0,394.67,437,21.89,98.2,18.1
"140",5.7848940852945,4.40561744133201,10,0.878485819838515,1.04881542599749,1.6119,0,0.624,0,388.08,437,21.89,93.6,14
"143",7.49273875236264,4.04669842185887,14,0.700171426052484,-1.05894993042977,1.4118,0,0.871,0,396.9,403,19.58,100,15.6
"144",5.92762671784737,4.87610214157521,11,1.22910000110411,0.600846743291155,1.3459,0,0.871,0,396.9,403,19.58,97.8,11.8
"145",6.15307914536519,4.14905799481549,18,1.58870658004503,0.620483798003449,1.4191,0,0.871,0,172.91,403,19.58,100,13.8
"149",6.99211610403741,4.1999918895815,14,0.783640186220361,-0.37456021927607,1.5257,0,0.871,0,351.85,403,19.58,94.9,15.4
"152",6.43806632251607,5.36688581557168,17,1.08229508760854,-0.578311992686864,1.6102,0,0.871,1,343.28,403,19.58,88,15.3
"158",6.61001390321762,3.59923362998363,8,0.134674691612187,0.502624715594166,1.7573,0,0.605,0,353.89,403,19.58,100,24.3
"164",6.47403966508071,4.01239697052734,7,0.102333012581373,-0.146704232757693,2.422,0,0.605,0,395.11,403,19.58,91.8,22.7
"167",5.28759799100532,3.96163593989228,8,0.144590596900852,-0.413113587963887,2.4259,0,0.605,0,227.61,403,19.58,79.2,23.8
"168",6.72126887713859,3.87125501171303,14,0.355953892531853,-0.238489736807988,2.1,0,0.605,0,297.09,403,19.58,96.1,23.8
"171",5.18538343195632,4.67331204295106,10,0.306268396680774,0.436304030944942,2.3887,0,0.605,0,348.13,403,19.58,97.3,19.1
"174",6.3248311588481,3.52457167866523,1,-0.152846828782678,-0.449760539528198,2.7019,0,0.51,0,393.23,296,4.05,68.7,22.6
"175",6.55383549986203,2.40888860153069,5,0.0848297916886933,-0.564356429520665,3.1323,0,0.51,0,390.96,296,4.05,33.1,29.4
"176",5.28977996936441,3.05408718048247,1,-0.586000291167251,-0.857103190863492,3.5549,0,0.51,0,393.23,296,4.05,47.2,23.2
"179",7.39085389763904,1.26167897673576,2,-0.473953217913428,-1.13278964578581,2.829,0,0.488,0,396.9,193,2.46,58.4,37.2
"183",6.86374448101798,2.94591490136115,1,-0.72548510399551,-0.737752167503246,2.847,0,0.488,0,396.9,193,2.46,95.6,32.5
"186",8.11986260703549,0.601763765046916,1,-1.05474603199209,-0.450259786149756,3.1992,0,0.488,0,392.63,193,2.46,53.6,50
"205",6.67175532564369,2.81343804578989,6,-1.12656885954915,-0.708487265612869,3.9454,0,0.489,0,396.9,277,10.59,22.3,22.6
"215",6.02724980897603,2.47338523353022,1,-0.710514174790389,0.315306073667243,3.9454,0,0.489,0,393.63,277,10.59,42.4,25
"218",6.76118727992226,3.36972260298501,1,-0.247370807290794,-0.48051341572428,2.8893,0,0.55,1,396.9,276,13.89,93.8,21.5
"219",6.3068931028584,4.48979326813591,11,0.457160578444998,0.37748101235261,3.3633,0,0.55,1,393.74,276,13.89,92.4,23
"220",6.57767010245671,3.27618638564396,12,0.192584628826156,0.0877204562109258,2.8617,0,0.507,1,391.7,307,6.2,88.5,26.7
"222",6.63405999599825,3.54483108127586,8,-0.246503336965048,0.142628858718469,3.2721,0,0.507,1,390.39,307,6.2,77.7,27.5
"228",7.99215977133403,0.670638940444086,3,-0.759767478762446,0.114518492545973,3.3751,0,0.504,0,377.51,307,6.2,17,46.7
"230",6.742915041187,3.13264849667892,4,-0.0195867131443281,0.526691898176497,3.6715,0,0.504,0,378.35,307,6.2,68.1,24.3
"232",7.82382919831123,1.63430594411418,3,-0.818928009090954,-0.290495874106015,3.8384,0,0.507,0,385.91,307,6.2,73.3,41.7
"233",8.0144902805825,1.4076311517388,3,-0.769038865948994,-0.9637981694466,3.6519,0,0.507,0,378.95,307,6.2,70.4,48.3
"234",7.11182906503424,3.14939129853109,4,-0.259130879218189,-0.0076055967137931,3.6519,0,0.507,1,360.2,307,6.2,66.5,29
"237",7.23400517473211,3.43781089318146,11,-0.587696908708428,-0.74378355995438,4.148,0,0.507,0,390.07,307,6.2,71.6,31.5
"260",6.97269578811566,2.96465623856348,7,0.276593932758921,-0.914925349024414,2.1121,20,0.647,0,392.8,264,3.97,81.8,33.8
