"","RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV"
"1",5.82245734906673,3.69837957959121,1,-1.70150087729898,-0.558908327880026,4.9671,0,0.469,0,396.9,242,7.07,78.9,21.6
"18",6.26504317385273,3.73658981310505,12,0.608317536912599,-0.57452653415184,3.7965,0,0.538,0,288.99,307,8.14,36.6,20.2
"24",5.68976857545562,3.88698477519821,7,-0.477610422819642,-0.396162086829487,4.3996,0,0.538,0,394.33,307,8.14,94.1,15.6
"36",5.89747498749231,3.30371067809459,2,-0.953886511909223,0.685574214275523,3.3779,0,0.499,0,377.56,279,5.96,61.4,20
"38",6.29694496972184,2.44647682471034,7,0.202137665394778,-0.224738161767977,3.8473,0,0.499,0,393.43,279,5.96,30.2,24.7
"47",6.29115649407826,3.61684631715598,2,-0.740589479753969,-0.769905855462053,5.6894,0,0.448,0,392.74,233,6.91,85.5,16.6
"72",6.41281829801108,0.985136037160898,3,-1.84126000954656,0.457915288492667,5.2873,0,0.413,0,390.91,305,10.81,7.8,22.8
"76",6.18880651208441,3.74943068493071,3,-0.571698485976583,1.2239052290416,4.0522,0,0.437,0,373.66,398,12.83,74.5,20
"77",5.68319213538145,3.03416190581788,2,-0.202991548446453,0.804881637992118,4.0905,0,0.437,0,386.96,398,12.83,45.8,20.8
"86",6.29136519131723,3.33403465662437,1,-0.489835027176472,-0.0534914102650884,4.4272,0,0.449,0,395.99,247,4.49,45.1,22.5
"87",6.04591372563157,2.72663717046165,12,0.00642572007769675,-0.40978094105565,3.7476,0,0.449,0,395.15,247,4.49,56.8,22.2
"88",6.40943433383816,3.34955248331214,1,-0.676345493176653,0.121648026684236,3.4217,0,0.489,0,396.9,270,3.41,86.3,23.6
"90",6.27015160049254,3.75258810362534,7,0.119865587873685,-1.26758511218951,3.0923,0,0.489,0,392.18,270,3.41,66.1,22.6
"96",6.07053600184984,2.99392484083473,1,-1.2136111173552,-0.0215377836444657,3.4952,0,0.445,0,391.83,276,2.89,69.6,21.4
"97",7.75158647886673,1.81071037082913,1,-0.885447165533647,-0.117390568762777,3.4952,0,0.445,0,396.9,276,2.89,76,38.7
"98",7.96259362878317,1.11111088076528,1,-1.18419354482697,-1.14146677139006,3.4952,0,0.445,0,393.53,276,2.89,36.9,43.8
"99",7.04130444847118,2.35994860337145,1,-1.24103798078348,-0.378127972104081,3.4952,0,0.445,0,396.9,276,2.89,62.5,33.2
"110",6.24245888196382,3.28936788755179,3,-1.08921445536503,0.00536355393761613,2.7778,0,0.52,0,393.49,384,8.56,54.4,21.7
"113",5.42678690400166,4.30865055776675,10,-0.314623779750039,1.4648605748743,2.548,0,0.547,0,396.9,432,10.01,95.4,18.7
"120",5.84535956335467,3.16217808583833,1,-0.848194172625235,-1.1681215879101,2.2577,0,0.581,0,389.15,188,25.65,69.7,22
"121",6.07187999101786,4.21044602042962,1,-0.889402648129587,-1.32471488375018,2.1974,0,0.581,0,377.67,188,25.65,84.1,20.3
"123",6.29866692348877,3.64512990893067,1,-0.407820864399157,0.50292692489397,1.9444,0,0.581,0,370.31,188,25.65,97,17.3
"125",6.15166235041645,4.26117659702388,1,-0.113543270126417,-0.421466047648936,1.9929,0,0.581,0,385.02,188,25.65,88.4,21.4
"136",6.49623241004648,3.34617056736471,11,0.337212591474825,0.926005465856105,1.9669,0,0.624,0,378.25,437,21.89,93.5,17.4
