"","RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV"
"3",7.47787227541383,1.67104698447043,1,-1.64702938825865,-0.262573600911123,6.0622,0,0.458,0,394.63,222,2.18,45.8,33.4
"4",7.14976270071003,2.09467755165676,11,0.0526620636163734,-0.0105476192415612,6.0622,0,0.458,0,396.9,222,2.18,54.2,36.2
"7",7.14309345062752,3.33614266321717,11,-0.308573938429462,0.3188446541229,5.9505,12.5,0.524,0,396.9,311,7.87,96.1,27.1
"21",6.43354286273659,3.43964361289772,6,-0.0891299257446944,0.934407046863832,4.0123,0,0.538,0,392.53,307,8.14,89.2,19.6
"25",6.83199722071493,3.42265291679555,7,-0.220864851247117,0.676748902031873,4.4546,0,0.538,0,303.42,307,8.14,85.7,13.9
"37",6.13921127880849,2.26764382647349,3,-0.508980558913008,0.220432910700973,3.9342,0,0.499,0,396.9,279,5.96,41.5,21
"44",6.49123625219329,2.98604268997375,6,-0.339223182455706,0.255313236623355,5.7209,0,0.448,0,389.39,233,6.91,40,21.2
"45",5.66766087501872,2.9013348991288,1,-0.967245658319673,-0.0994482573130941,5.1004,0,0.448,0,396.9,233,6.91,33.8,19.3
"47",5.76948379531345,3.53736871819197,1,-0.769145575076002,0.670128638641676,5.6894,0,0.448,0,392.74,233,6.91,85.5,16.6
"52",6.5836551072159,1.64571452510127,3,-1.07609031411217,-0.47923366955732,6.8147,21,0.439,0,396.9,243,5.64,21.1,25
"62",5.84131424385879,4.04132647945196,1,-1.62528708302774,-0.310885195442404,7.2255,25,0.453,0,396.9,284,5.13,67.8,22.2
"89",6.48016510991453,2.37756060528417,1,-1.43682282236939,0.21836361070309,3.4145,0,0.489,0,396.06,270,3.41,63.1,28.7
"91",6.12434609578424,2.88908331393101,5,-0.451518349278476,-0.691149709322226,3.0921,0,0.489,0,393.55,270,3.41,73.9,22
"98",7.50755393522095,1.29164592545517,1,-2.33138629104321,-1.05493300441097,3.4952,0,0.445,0,393.53,276,2.89,36.9,43.8
"99",6.10621948245419,2.99753014314686,8,0.0919180085679054,-0.641883644217603,3.4952,0,0.445,0,396.9,276,2.89,62.5,33.2
"106",5.99677732152153,3.54517813968103,2,0.0809033534350052,0.655561243840052,2.211,0,0.52,0,395.67,384,8.56,91.9,19.5
"109",6.32113548222718,3.44907098660555,8,0.290544069466501,0.602901830496758,2.5451,0,0.52,0,391.23,384,8.56,91.2,19.4
"110",4.96199993174833,3.47844598368174,4,0.117566120374632,0.296064392145179,2.7778,0,0.52,0,393.49,384,8.56,54.4,21.7
"111",5.63359037043531,4.43029285503127,9,0.890619644372763,-0.791524640583029,2.6775,0,0.547,0,395.59,432,10.01,81.6,22.8
"117",5.97953513077865,3.19698883869596,14,0.596859834581603,0.360378399086593,2.7474,0,0.547,0,394.51,432,10.01,82.6,19.2
"118",5.93294472830404,3.61374023610839,17,0.733046569028067,-0.771590046534439,2.4775,0,0.547,0,338.63,432,10.01,73.1,20.4
"121",6.25083192207302,3.65678922868908,1,-0.793565151132241,-0.0311189673374998,2.1974,0,0.581,0,377.67,188,25.65,84.1,20.3
"125",6.34513346229661,2.54599649639668,1,-0.845623658065545,0.0805094946605952,1.9929,0,0.581,0,385.02,188,25.65,88.4,21.4
"126",6.0857779337478,4.50605288515186,1,-1.10160002179232,0.159084269246743,1.7572,0,0.581,0,359.29,188,25.65,95.6,15.7
"127",6.5523994743072,3.32605564869247,4,0.443250098997599,-0.251138705190629,1.7883,0,0.624,0,392.11,437,21.89,96,16.2
"130",7.00350390406143,3.02977139950093,6,0.0740382107286861,-0.640354279387741,2.1185,0,0.624,0,395.04,437,21.89,98.9,19.2
"136",6.62703404190655,3.52840810118928,6,0.0797188106146313,0.974720282442702,1.9669,0,0.624,0,378.25,437,21.89,93.5,17.4
"138",5.11254498704738,5.36306620896562,8,0.542064559410573,1.1949490566262,1.6686,0,0.624,0,392.04,437,21.89,98.2,13.3
"143",5.80800457294356,4.24498384666256,4,0.258989101937184,0.625065526706299,1.4118,0,0.871,0,396.9,403,19.58,100,15.6
"144",5.09542052202428,4.72646221776462,9,1.01276685033614,-0.273189216807996,1.3459,0,0.871,0,396.9,403,19.58,97.8,11.8
"146",6.42563556266493,4.67960380058825,16,1.2209458975279,0.414573574839733,1.5166,0,0.871,0,169.27,403,19.58,100,15.6
"147",6.09933688360623,3.61079340603898,7,-0.0672251669837396,-0.632557801734183,1.4608,0,0.871,0,391.71,403,19.58,95.7,14.6
"150",6.19951700254376,3.59051133067123,17,1.07075541346065,-0.0134307754612855,1.618,0,0.871,0,372.8,403,19.58,97.3,21.5
"152",5.63713014627018,4.03271373091419,9,1.47441342002551,0.254092027127265,1.6102,0,0.871,1,343.28,403,19.58,88,15.3
"154",6.6538352585991,4.12215605866121,11,1.32262445977754,1.24699983133786,1.7494,0,0.871,1,321.02,403,19.58,96,17
"156",5.8404941245717,5.56984428598681,13,0.823599024580212,0.213128449741827,1.7364,0,0.871,0,88.63,403,19.58,94,13.1
"157",7.94516148886067,2.21057735173764,3,-0.231207018120168,-0.652270493104497,1.8773,0,0.605,0,363.43,403,19.58,97.4,41.3
"158",6.34614539834119,3.3658795575348,7,0.629481660362958,1.07506508929552,1.7573,0,0.605,0,353.89,403,19.58,100,24.3
"159",6.53604113733823,3.9800761233636,12,1.23129565956736,-0.360217958552998,1.7659,0,0.871,0,364.31,403,19.58,100,23.3
"160",6.81169072679264,3.0179665080687,14,0.170675785054282,-1.03766159732543,1.7984,0,0.605,1,338.92,403,19.58,92.6,27
"161",8.81972781144645,1.24173174598033,15,0.230338066869436,0.293917757792799,1.9709,0,0.605,0,374.43,403,19.58,90.8,50
"164",6.72223551796887,3.86290777540375,8,0.613604100962256,0.887160189013939,2.422,0,0.605,0,395.11,403,19.58,91.8,22.7
"168",6.88537892258008,3.49214597436645,16,0.173271790960357,-1.954687208336,2.1,0,0.605,0,297.09,403,19.58,96.1,23.8
"170",5.79174711031023,4.07546229829524,10,0.708919527783843,0.491289053709087,2.4259,0,0.605,0,292.29,403,19.58,94.6,17.4
"172",5.88840861023995,4.00741119906078,7,0.215300419681363,-0.64412945482274,2.5961,0,0.51,0,396.9,296,4.05,88.5,23.1
"176",6.78735276367394,2.55583173227505,3,-0.231423848659331,0.606966923573542,3.5549,0,0.51,0,393.23,296,4.05,47.2,23.2
"177",5.88514960130614,3.63020135216976,11,0.0490958839159668,0.853721869809092,3.3175,0,0.51,0,395.6,296,4.05,73.4,24.6
"179",6.90392874481752,1.98808477463341,3,-0.752559948806936,0.24569478140076,2.829,0,0.488,0,396.9,193,2.46,58.4,37.2
"183",6.79019242898394,3.30071666505459,2,-0.283048852367131,-1.51052846789401,2.847,0,0.488,0,396.9,193,2.46,95.6,32.5
"214",6.6457011253873,2.5443348200729,6,-1.2240635617076,-0.720822905634491,3.5875,0,0.489,0,348.93,277,10.59,9.8,23.7
"215",5.61226938318141,3.18195408572291,11,-0.529271717280642,-1.57163223910118,3.9454,0,0.489,0,393.63,277,10.59,42.4,25
"216",5.35958058742122,4.73736010044675,1,0.241797007257911,-0.433195653384717,3.1121,0,0.55,1,392.8,276,13.89,56,23.3
"221",6.51332527949509,3.67492454640652,10,-0.00333826002645586,0.762947045896714,3.048,0,0.507,1,395.24,307,6.2,91.3,21.7
"226",7.34609161752608,1.9650018167264,2,-0.211603879773429,0.0206226595108805,3.2157,0,0.504,0,387.38,307,6.2,86.5,37.6
"229",6.31892291560535,2.93860544473256,1,-0.500571345013704,-0.941542404527568,3.3751,0,0.504,0,380.34,307,6.2,21.4,31.5
"233",7.64293082689203,1.23846503242716,6,-0.0575543507657933,0.250782531480482,3.6519,0,0.507,0,378.95,307,6.2,70.4,48.3
"235",6.14441804066277,2.41197719090595,1,-0.579745864361721,0.676862530370332,3.6519,0,0.507,0,376.75,307,6.2,61.5,24
"236",6.16332328898408,3.90165345280652,12,0.0741032057454337,-0.402008288834767,4.148,0,0.507,1,388.45,307,6.2,76.5,25.1
"257",8.30205792592192,1.96544616352294,11,-0.612425931727668,-1.32773057910992,1.801,20,0.647,0,389.7,264,3.97,86.9,50
"258",6.75658429070869,2.77006652040593,4,0.283560605398572,-0.142589554825913,1.8946,20,0.647,0,383.29,264,3.97,100,36
"264",7.86034125826532,1.94435650133309,9,-0.126394167853093,-1.22294575049967,1.9301,20,0.647,0,387.89,264,3.97,91.6,36.5
"265",6.38336994755034,2.95102947395831,1,-0.501076194751255,0.564413054936516,1.9865,20,0.647,0,392.4,264,3.97,62.8,22.8
"267",8.17832616213432,1.34533595780031,7,-0.134869538805961,-0.706921810459832,2.4216,20,0.575,0,384.54,264,3.97,67,50
"293",6.33685290514802,1.99705804234171,7,-0.978382110271997,-1.033724595709,5.5027,0,0.437,0,396.9,289,13.92,18.4,23.9
"309",5.69979038119957,3.95445509388009,7,-0.132035043625546,-0.0440908089525062,3.1025,0,0.544,0,396.24,304,9.9,76.7,20.3
"315",5.35087392085738,3.75867210550671,11,-0.316139360556464,0.894378520356506,3.945,0,0.544,0,396.42,304,9.9,77.7,16.2
"317",6.60649263573064,2.87565373067868,9,0.537695060546574,0.697459846307751,4.0317,0,0.544,0,396.9,304,9.9,71.7,19.8
"319",5.84658744124039,3.02518139953485,7,0.0964079240625864,0.00367065580799585,4.0019,0,0.544,0,396.23,304,9.9,58.8,21
"320",6.52229986092573,2.87359173093229,3,-1.02112573028673,-2.13273688621279,4.5404,0,0.493,0,396.9,287,7.38,52.3,23.8
"321",5.74838440433254,3.53495786726321,5,-0.243936707788977,-0.524465408115369,4.5404,0,0.493,0,396.9,287,7.38,54.3,23.1
"324",6.61408675780144,2.91386658162074,1,-1.41503513452877,-0.192328274703847,4.7211,0,0.493,0,396.9,287,7.38,40.1,25
"325",7.02797231724025,2.2847309571325,3,-1.4642924467822,-1.64992269293862,5.4159,0,0.493,0,393.68,287,7.38,14.7,24.6
"326",5.57624982063571,2.90033424890225,8,-0.538892849191795,-0.229870506262143,5.4159,0,0.493,0,396.9,287,7.38,28.9,23
"328",5.87030885288924,3.89369756210226,18,-0.344609302022415,1.54881189599131,5.2146,0,0.46,0,382.44,430,3.24,25.8,19.3
"333",5.71272956141755,3.51375032186598,1,-0.776339465570771,0.557344050972638,6.4584,0,0.515,0,389.71,224,5.19,38.1,22.2
"377",4.96779971940932,5.30738510446498,23,2.00359301902724,1.50181583976385,1.358,0,0.671,0,396.9,666,18.1,98.8,13.3
"380",5.36368815197491,4.64684661491453,17,0.395607193403714,1.16890137731514,1.4165,0,0.671,0,396.9,666,18.1,91.9,10.4
"408",6.4965327350782,3.84843133918896,16,0.98618957318922,0.462345626224303,1.4547,0,0.597,0,314.64,666,18.1,97.9,17.2
"411",6.92791706472082,4.84358126250442,24,1.73244641602669,1.48799481364009,1.5275,0,0.597,0,35.05,666,18.1,100,17.2
"424",6.25651063663995,4.59669373270038,24,1.68825579503934,1.26267283516706,2.0635,0,0.584,0,3.65,666,18.1,70.6,11.7
"442",6.78692506888588,3.16206813888534,23,1.64379106589762,-1.07383086100171,2.0048,0,0.74,0,395.69,666,18.1,100,18.4
"444",6.00995843168079,4.56265864308242,19,1.18909247262996,0.896013597555073,1.8956,0,0.74,0,240.52,666,18.1,96.6,10.8
"448",5.74912638231812,4.60030771463429,18,1.43329554232377,1.20243345710484,2.2616,0,0.713,0,396.9,666,18.1,98.7,14.1
"462",5.80694113180432,4.42044164646919,21,2.00366612662665,-0.196842742173668,2.7344,0,0.713,0,396.9,666,18.1,83,19.5
"465",6.29160422031703,3.23160429493197,21,1.05740120538038,0.792683660789853,3.0665,0,0.655,0,334.4,666,18.1,48.2,19.9
"467",6.46200784791871,3.8553582694965,19,0.679870538725562,-0.0593864048411292,2.5403,0,0.584,0,331.29,666,18.1,94.5,19.1
"478",6.1982241628038,3.57836620477387,20,1.20602560977555,1.35777841214186,2.1705,0,0.614,0,379.7,666,18.1,96.7,14.6
"485",5.31440326129593,3.72957634913534,20,0.519587293540062,0.164390581854192,3.9917,0,0.583,0,388.62,666,18.1,51.9,21.2
"497",5.97976393861349,3.2818750109512,12,0.0806631454913031,-0.867418743177709,2.8927,0,0.585,0,396.9,391,9.69,70.6,18.3
"505",5.10031474855636,4.44583796516513,6,0.243038878569955,1.12402426772497,2.505,0,0.573,0,396.9,273,11.93,80.8,11.9
"263",7.26429163605905,2.55823508205924,6,0.392237437126742,-1.88714317572526,2.0788,20,0.647,0,393.42,264,3.97,94.5,31
"268",7.90997708816134,1.14557884108982,7,-0.611818203373298,-1.88714317572526,2.872,20,0.575,0,390.3,264,3.97,52.6,43.5
"142",6.78101531371689,3.73928211913251,19,1.02669810678234,-1.54701457236491,1.3216,0,0.871,1,396.9,403,19.58,100,13.4
"148",6.00199463529138,3.57568352892975,7,1.2078359650944,-1.54701457236491,1.5296,0,0.871,0,356.99,403,19.58,93.8,17.8
"162",8.12276589613374,2.65475687088925,17,0.206102132298668,-1.54701457236491,2.0407,0,0.605,1,389.61,403,19.58,98.2,50
"165",6.63659585015495,4.00579187241613,17,0.65533454509663,-1.54701457236491,2.2834,0,0.605,0,240.16,403,19.58,93,25
"280",7.46935091906813,1.69165033385118,1,-0.314513743168692,-1.4986288445605,4.6947,20,0.4429,0,387.31,216,3.33,64.5,45.4
"11",6.91664670558768,2.89320438108077,2,-0.0315934530053297,-1.42225756521518,6.2267,12.5,0.524,0,396.9,311,7.87,82.9,18.9
"188",6.28367861720849,1.46757814295021,3,-0.626042608421173,-1.42225756521518,4.5667,45,0.437,0,382.84,398,3.44,29.1,29.8
"189",7.34441625491063,0.900247887635751,12,-0.237801583306225,-1.42225756521518,4.5667,45,0.437,0,396.9,398,3.44,38.9,34.9
"0",6.09286827853092,3.05021680430362,2,-0.0960358795925801,-1.39574945375807,4.09,18,0.538,0,396.9,296,2.31,65.2,24
"295",6.8395867604975,2.16287770038187,3,-1.03964190912372,-1.1943938643994,5.9604,0,0.437,0,396.9,289,13.92,31.1,28.6
"302",6.54018354004227,2.09704572385074,1,-0.616196761839552,-1.16323735407812,5.4917,34,0.433,0,383.61,329,6.09,18.4,26.4
"218",6.67973368503203,4.19568310420733,2,-0.760701073515055,-1.06591919064377,2.8893,0,0.55,1,396.9,276,13.89,93.8,21.5
"219",6.39969888591381,3.73550503088191,3,0.155744185071551,-1.06591919064377,3.3633,0,0.55,1,393.74,276,13.89,92.4,23
