"","RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV"
"5",6.43640764813613,2.88491961090269,1,-1.1369430836271,-1.54359765204352,6.0622,0,0.458,0,394.12,222,2.18,58.7,28.7
"6",5.7439059203779,3.55425345125392,11,-0.295610979332231,-0.132889534663184,5.5605,12.5,0.524,0,395.6,311,7.87,66.6,22.9
"16",6.17124662059465,3.06685965867446,9,0.200942763258254,-0.176594525126989,4.4986,0,0.538,0,386.85,307,8.14,29.3,23.1
"23",5.52148930101411,4.05864523393372,6,-0.549495736751376,-0.671719791618297,4.0952,0,0.538,0,394.54,307,8.14,100,14.5
"35",5.9669142258747,3.75970993294314,4,-0.812966371179793,2.12433128532086,3.3603,0,0.499,0,396.9,279,5.96,68.2,18.9
"36",5.5362247673987,4.71462265826406,9,-0.493611511286918,-0.404891561288751,3.3779,0,0.499,0,377.56,279,5.96,61.4,20
"41",6.01114226534921,2.5562871660331,1,-1.31978315870678,0.297503955539131,5.7209,0,0.448,0,385.41,233,6.91,2.9,26.6
"43",6.16607565714855,1.78181553206277,1,-0.91070574784955,-2.68140712267639,5.7209,0,0.448,0,394.46,233,6.91,6.5,24.7
"72",6.16487226017864,2.43926629606679,2,-1.05412231948599,0.142850770012318,5.2873,0,0.413,0,390.91,305,10.81,7.8,22.8
"84",6.41232915177237,3.02940030845102,5,-0.0358550831389665,-0.663403525404285,4.7794,0,0.449,0,396.9,247,4.49,48,23.9
"86",6.33708872948166,3.70758752250073,1,-1.22925330285836,-1.10042947552411,4.4272,0,0.449,0,395.99,247,4.49,45.1,22.5
"87",6.03363723126974,2.87446554332437,7,-0.930966634920428,-0.0482920293472679,3.7476,0,0.449,0,395.15,247,4.49,56.8,22.2
"97",7.31330372495176,1.52305529429979,11,0.0160458938182812,0.17579604723257,3.4952,0,0.445,0,396.9,276,2.89,76,38.7
"98",8.19039924774906,1.13822977071877,14,-0.109265313961312,0.577416402143719,3.4952,0,0.445,0,393.53,276,2.89,36.9,43.8
"101",6.78606465880431,1.89678714733841,14,-0.360200316533514,-0.240007891179054,2.8561,0,0.52,0,395.58,384,8.56,71.3,26.5
"106",5.87677896387453,4.11565060934894,6,0.152928020150075,1.76852744115857,2.211,0,0.52,0,395.67,384,8.56,91.9,19.5
"114",6.23409612715986,3.52529958218344,17,0.472250993492208,0.572003819244827,2.2565,0,0.547,0,388.74,432,10.01,84.2,18.5
"116",6.43697895308299,3.10226770919087,16,0.636890817177915,0.0345071797612223,2.7301,0,0.547,0,393.3,432,10.01,72.5,21.2
"119",6.33506053889104,3.68076742459125,16,0.0984140952391099,0.331161434191851,2.7592,0,0.547,0,391.5,432,10.01,65.2,19.3
"120",6.40962550516655,3.20590640158656,1,-1.18603555460272,-0.971932333870951,2.2577,0,0.581,0,389.15,188,25.65,69.7,22
"121",5.73248365552504,3.85478935191261,1,-1.18306691243569,-0.730156244988207,2.1974,0,0.581,0,377.67,188,25.65,84.1,20.3
"124",6.22882350969899,3.80760650504877,1,-0.363438534324713,0.349455301152619,2.0063,0,0.581,0,379.38,188,25.65,95.8,18.8
"125",6.34048704561054,2.85253694696731,1,-1.58140133518898,0.306378069254558,1.9929,0,0.581,0,385.02,188,25.65,88.4,21.4
"129",5.78480817298495,3.78937963073182,1,-0.0163435486009118,1.23646164996474,1.9799,0,0.624,0,396.9,437,21.89,94.7,14.3
"142",5.61204914046798,4.69030158510786,21,1.95036152954426,-1.25701663272127,1.3216,0,0.871,1,396.9,403,19.58,100,13.4
"147",6.07654203405382,4.7394111299153,17,1.46200403800399,-0.796770885515507,1.4608,0,0.871,0,391.71,403,19.58,95.7,14.6
"149",6.51708477126226,3.94824625934042,12,0.966124429354971,-0.863947101937442,1.5257,0,0.871,0,351.85,403,19.58,94.9,15.4
"150",7.01092969148403,3.25003608556168,7,0.429560360461718,0.0740018592800375,1.618,0,0.871,0,372.8,403,19.58,97.3,21.5
"152",6.0511300717851,4.95787850389061,20,1.00760114804737,-1.07934434133755,1.6102,0,0.871,1,343.28,403,19.58,88,15.3
"153",6.54595509218223,5.12650664384922,16,1.26066299914478,-0.986928901282818,1.6232,0,0.871,0,261.95,403,19.58,98.5,19.4
"156",6.10372532985552,4.45417079793704,20,1.19008563569269,1.52202663527871,1.7364,0,0.871,0,88.63,403,19.58,94,13.1
"161",8.4214226141667,1.40542868595485,12,-0.0141177377757047,-0.860492391177059,1.9709,0,0.605,0,374.43,403,19.58,90.8,50
"164",6.4643956478005,3.72292649833214,9,-0.249593403603982,0.47221229279344,2.422,0,0.605,0,395.11,403,19.58,91.8,22.7
"166",9.06184870806851,1.02235669643283,9,0.40008708784548,-1.60239502176752,2.0459,0,0.605,0,369.3,403,19.58,96.2,50
"167",7.02208014649923,3.12485936457906,19,-0.0131561667872499,1.35564071108744,2.4259,0,0.605,0,227.61,403,19.58,79.2,23.8
"169",6.29321642523486,3.76898265205116,10,-0.257697928751745,-0.0869872328482971,2.2625,0,0.605,0,330.04,403,19.58,95.2,22.3
"170",6.50004207287612,3.21248998819251,14,0.283258077625253,0.71975942579792,2.4259,0,0.605,0,292.29,403,19.58,94.6,17.4
"171",5.95466165591919,3.65275760473234,4,0.0842132622676785,-0.153321522746061,2.3887,0,0.605,0,348.13,403,19.58,97.3,19.1
"174",5.96110203754648,4.18265990777547,7,-0.0736567575976904,-0.387589858907839,2.7019,0,0.51,0,393.23,296,4.05,68.7,22.6
"175",6.81984587055535,2.09205016426168,11,0.080868641640935,0.292593678184123,3.1323,0,0.51,0,390.96,296,4.05,33.1,29.4
"179",7.09188988473248,1.8265980068662,4,-0.465177472909141,-0.729533094620743,2.829,0,0.488,0,396.9,193,2.46,58.4,37.2
"181",7.21870922742582,2.49970673411856,3,-0.270951147797249,-0.351497001672565,2.5979,0,0.488,0,396.9,193,2.46,62.2,36.2
"183",7.37470173544594,2.2780917042378,1,-1.52261814624167,-0.98832777065729,2.847,0,0.488,0,396.9,193,2.46,95.6,32.5
"184",6.62015597652045,2.90521490374428,6,0.462331033883539,-0.135498450150159,2.9879,0,0.488,0,391,193,2.46,89.8,26.4
"207",6.18659106876567,2.10767244165763,1,-1.15239384084144,-0.0551538365973178,4.3549,0,0.489,0,389.43,277,10.59,72.7,22.5
"210",5.56375002581754,3.70727565424422,1,-0.0608433112813465,-0.198988566014424,3.8771,0,0.489,1,393.25,277,10.59,92.1,21.7
"215",6.29517752053613,1.95300302127041,4,-0.530020213720009,0.264657068965445,3.9454,0,0.489,0,393.63,277,10.59,42.4,25
"216",5.66130832466071,4.55410768458099,3,0.0893439052698834,-1.24884182884489,3.1121,0,0.55,1,392.8,276,13.89,56,23.3
"218",6.08648700587937,3.33900412966908,4,0.0446223127258503,0.615309061963919,2.8893,0,0.55,1,396.9,276,13.89,93.8,21.5
"220",6.05286977520837,3.53201084927301,14,-0.0279719038015785,0.440617813280884,2.8617,0,0.507,1,391.7,307,6.2,88.5,26.7
"222",6.2215714979274,2.36767145721983,6,-0.211707148768489,-0.849311767991831,3.2721,0,0.507,1,390.39,307,6.2,77.7,27.5
"231",7.31857839047534,1.84097648752153,10,0.308879984027132,-1.27533513495384,3.6715,0,0.504,0,376.14,307,6.2,76.9,31.7
"232",7.69132007450572,2.48393360237702,13,0.436322513926899,-0.29800960958034,3.8384,0,0.507,0,385.91,307,6.2,73.3,41.7
