"","RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV"
"1",6.64848404620384,3.44001043118762,5,0.0308818208030847,-1.06760217339624,4.9671,0,0.469,0,396.9,242,7.07,78.9,21.6
"12",5.49701132398381,2.8194265420711,2,-0.127597686776529,-1.07685707522973,5.4509,12.5,0.524,0,390.5,311,7.87,39,21.7
"16",6.75974987889781,3.24162765791194,5,-0.769470099998209,0.726571765261529,4.4986,0,0.538,0,386.85,307,8.14,29.3,23.1
"26",5.15871825808493,4.44665480994828,4,-0.848179336396862,0.22455202203327,4.682,0,0.538,0,376.88,307,8.14,90.3,16.6
"44",5.88298341327856,3.27907879861718,3,-0.641028361797599,-0.0107658696866105,5.7209,0,0.448,0,389.39,233,6.91,40,21.2
"46",6.18326812439385,3.06529921399184,3,-0.837734498631373,1.10489141097277,5.1004,0,0.448,0,396.9,233,6.91,33.3,20
"47",5.90380835375354,3.76759008402347,1,-1.08342219297781,0.69263045093366,5.6894,0,0.448,0,392.74,233,6.91,85.5,16.6
"71",6.46862874335006,2.88353846679357,11,-0.70970956008555,0.126866724306619,5.2873,0,0.413,0,376.94,305,10.81,17.5,21.7
"74",5.61144362930482,3.23940536568468,9,-0.865167520006361,-0.0627736229558409,4.2515,0,0.437,0,394.92,398,12.83,6,24.1
"84",6.88172559507528,2.31483156270349,7,-0.351540667279358,-0.899127228028184,4.7794,0,0.449,0,396.9,247,4.49,48,23.9
"88",6.28827027261936,3.46235377752972,1,-0.807180706891491,0.429769095593585,3.4217,0,0.489,0,396.9,270,3.41,86.3,23.6
"90",6.10301807127241,3.34950983348285,8,-0.600269425073114,-0.810146452245378,3.0923,0,0.489,0,392.18,270,3.41,66.1,22.6
"91",7.37399088501239,2.38701150766623,12,-0.075755776700319,0.126599349875969,3.0921,0,0.489,0,393.55,270,3.41,73.9,22
"96",5.80405025780213,3.77822702800148,2,-0.796449082877612,-0.178408247198221,3.4952,0,0.445,0,391.83,276,2.89,69.6,21.4
"98",8.08517028499551,0.998659474661526,2,-0.704762815484732,-1.13688033312098,3.4952,0,0.445,0,393.53,276,2.89,36.9,43.8
"104",5.57544981245244,3.94307795160434,10,0.276129019160569,-0.122920321754058,2.421,0,0.52,0,392.69,384,8.56,90,20.1
"110",5.374306247637,3.19234843309748,16,0.197034436416142,0.109221078106375,2.7778,0,0.52,0,393.49,384,8.56,54.4,21.7
"113",6.31495084515262,4.37907343624048,12,0.787462092536443,-0.991513062485862,2.548,0,0.547,0,396.9,432,10.01,95.4,18.7
"116",6.59670339311407,2.78136944719681,8,-0.640873335071989,0.661651877666949,2.7301,0,0.547,0,393.3,432,10.01,72.5,21.2
"117",6.5573735670677,3.35226137135232,8,-0.0738871923059624,0.584003618045414,2.7474,0,0.547,0,394.51,432,10.01,82.6,19.2
"118",6.23542401567227,2.97418970143044,12,-0.00577029969095889,1.24774226654655,2.4775,0,0.547,0,338.63,432,10.01,73.1,20.4
"119",6.05658445493696,3.51536728180429,14,0.184716456568972,-0.293945631164209,2.7592,0,0.547,0,391.5,432,10.01,65.2,19.3
"120",6.49424634444765,4.05165469716006,1,-1.28493728894865,0.524529952555254,2.2577,0,0.581,0,389.15,188,25.65,69.7,22
"122",5.65529623750744,4.22654939582501,1,-0.49945766863325,-0.300337651410388,2.0869,0,0.581,0,378.09,188,25.65,92.9,20.5
"125",6.37996613456104,3.68683605897024,1,-1.06960695742418,-0.600534992108958,1.9929,0,0.581,0,385.02,188,25.65,88.4,21.4
"144",6.57444568783624,3.71399649598513,12,1.20069174096902,0.0362435170398864,1.3459,0,0.871,0,396.9,403,19.58,97.8,11.8
"145",6.08833780624504,4.80639679164565,6,0.855399396561492,-0.11458235047968,1.4191,0,0.871,0,172.91,403,19.58,100,13.8
"148",6.47070045808095,4.79572003978028,11,0.887015914881873,-0.606113839187562,1.5296,0,0.871,0,356.99,403,19.58,93.8,17.8
